No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,BRK.A,Berkshire Hathaway Inc.,1058755706880,742887.39,0.66%,397146000000
2,TSM,Taiwan Semiconductor Manufacturing Company Limited,1355088161198,258.58,-0.71%,116359865036
3,BRK.B,Berkshire Hathaway Inc.,1058758983680,495.79,1.17%,397146000000
4,ORCL,Oracle Corporation,922223153900,313.69,-4.46%,59018000000
5,JPM,JPMorgan Chase & Co.,826409865000,304.22,1.22%,175644000000
6,WMT,Walmart Inc.,800553889084,102.27,1.85%,693153000000
7,LLY,Eli Lilly and Company,714215381340,758.32,0.49%,53258100000
8,V,Visa Inc.,655865796428,341.07,0.87%,38893000000
9,MA,Mastercard Incorporated,519862610120,587.99,1.49%,30241000000
10,XOM,Exxon Mobil Corporation,479615625000,112.39,-0.10%,338078000000
11,JNJ,Johnson & Johnson,423362088600,177.63,1.05%,90627000000
12,HD,"The Home Depot, Inc.",411323770010,423.98,2.60%,165054000000
13,ABBV,AbbVie Inc.,389023010400,219.50,3.71%,58328000000
14,BAC,Bank of America Corporation,371310403500,50.73,1.20%,104521000000
15,PG,The Procter & Gamble Company,370117883700,158.38,0.65%,84284000000
16,BABA,Alibaba Group Holding Limited,334098563765,155.60,8.11%,139188178025
17,UNH,UnitedHealth Group Incorporated,314069629720,355.58,2.54%,422818000000
18,CVX,Chevron Corporation,323057668100,157.75,-0.03%,195327000000
19,SAP,SAP SE,303753420754,256.74,-1.45%,42220000000
20,GE,General Electric Company,301398256800,282.56,-0.30%,41612000000
21,KO,The Coca-Cola Company,292821706800,68.04,0.32%,47062000000
22,PM,Philip Morris International Inc.,257319892900,169.34,2.44%,39058000000
23,WFC,Wells Fargo & Company,257236232000,81.10,0.99%,81715000000
24,TM,Toyota Motor Corporation,257253323810,197.52,0.07%,334614302486
25,MS,Morgan Stanley,249132802100,156.49,1.54%,66137000000
26,GS,"The Goldman Sachs Group, Inc.",232968027180,784.00,1.87%,56213000000
27,NVO,Novo Nordisk A/S,241596235411,53.83,-0.99%,49046855346
28,NVS,Novartis AG,247343562550,127.55,0.79%,55186000000
29,IBM,International Business Machines Corporation,239288600720,256.98,0.04%,64040000000
30,CRM,"Salesforce, Inc.",232262759950,245.83,1.34%,39502000000
31,HSBC,HSBC Holdings plc,238780584000,69.23,1.26%,65854000000
32,AXP,American Express Company,227790013880,328.75,1.67%,63435000000
33,ABT,Abbott Laboratories,225145905600,131.38,1.56%,43109000000
34,BX,Blackstone Inc.,213888240480,185.79,4.24%,13747117000
35,MCD,McDonald's Corporation,218320007760,308.68,0.90%,26060000000
36,MRK,"Merck & Co., Inc.",209888453400,85.26,1.46%,63616000000
37,RTX,RTX Corporation,207473700000,157.65,1.71%,83599000000
38,T,AT&T Inc.,209291915300,29.38,0.62%,123984000000
39,SHEL,Shell plc,212628101204,72.08,-0.78%,289029000000
40,DIS,The Walt Disney Company,207337285755,115.75,-0.03%,94535000000
41,RY,Royal Bank of Canada,203282085706,145.09,0.66%,47058394161
42,CAT,Caterpillar Inc.,198124453890,430.84,1.88%,63139000000
43,UBER,"Uber Technologies, Inc.",196467418200,95.14,0.99%,47331000000
44,NOW,"ServiceNow, Inc.",192102560000,939.46,1.72%,12057000000
45,ANET,Arista Networks Inc,189435446400,152.00,0.85%,7950972000
46,VZ,Verizon Communications Inc.,183367756757,43.91,0.95%,137000000000
47,TMO,Thermo Fisher Scientific Inc.,179947222480,489.08,2.63%,43212000000
48,C,Citigroup Inc.,178880253000,98.55,1.42%,83160000000
49,MUFG,"Mitsubishi UFJ Financial Group, Inc.",181816645549,15.67,-0.44%,37086014735
50,BLK,"BlackRock, Inc.",170785825170,1130.21,2.48%,21573000000
51,GEV,GE Vernova Inc.,175192438826,634.54,-1.40%,36615000000
52,SONY,Sony Group Corporation,172708988331,29.04,1.34%,86788881215
53,BA,The Boeing Company,172041068160,228.20,0.30%,75327000000
54,SCHW,The Charles Schwab Corporation,168860840500,93.29,1.14%,21626000000
55,HDB,HDFC Bank Limited,60085711329,35.50,0.80%,25627522818
56,SPGI,S&P Global Inc.,164828417000,546.54,1.23%,14699000000
57,TJX,"The TJX Companies, Inc.",155664719020,141.10,0.89%,57925000000
58,UL,Unilever PLC,155302677849,63.29,0.81%,70318823529
59,BSX,Boston Scientific Corporation,154902145000,104.39,-0.80%,18494000000
60,LOW,"Lowe's Companies, Inc.",149486427596,272.38,2.19%,83613000000
61,ACN,Accenture plc,151421792830,243.15,0.01%,68482536000
62,SYK,Stryker Corporation,146412111790,386.84,1.01%,23818000000
63,SAN,"Banco Santander, S.A.",150868222757,10.08,1.31%,113595283357
64,APH,Amphenol Corporation,145399362800,120.04,0.80%,18817900000
65,NEE,"NextEra Energy, Inc.",146291960463,71.16,0.17%,25899000000
66,PGR,The Progressive Corporation,144447759690,246.54,0.05%,82408200000
67,COF,Capital One Financial Corporation,142887283310,224.62,0.53%,23773000000
68,ETN,Eaton Corporation plc,141023925000,362.89,0.18%,25990000000
69,PFE,Pfizer Inc.,140319374000,24.79,0.90%,63833000000
70,SPOT,Spotify Technology S.A.,138087971280,679.34,-3.52%,19544705882
71,DHR,Danaher Corporation,139630140000,194.85,1.17%,24013000000
72,BHP,BHP Group Limited,67533437922,54.00,1.41%,51262000000
73,TTE,TotalEnergies SE,140344885906,61.39,-1.30%,190342000000
74,KKR,KKR & Co. Inc.,129249971430,146.00,4.82%,16249076000
75,TD,The Toronto-Dominion Bank,133270912530,76.68,1.08%,48315942029
76,DE,Deere & Company,127421437868,475.40,0.86%,44433000000
77,UNP,Union Pacific Corporation,127877215200,216.61,0.66%,24393000000
78,UBS,UBS Group AG,129296962053,40.73,1.53%,54012222222
79,BTI,British American Tobacco p.l.c.,124517398214,57.28,1.81%,35063013699
80,MDT,Medtronic plc,118416684048,93.81,1.61%,34200000000
81,SE,Sea Limited,116136550453,197.96,2.55%,19379246000
82,COP,ConocoPhillips,117800020800,93.69,-0.67%,60182000000
83,BUD,Anheuser-Busch InBev SA/NV,115159431759,58.97,,58520000000
84,IBN,ICICI Bank Limited,113400045556,31.81,0.49%,34470738860
85,WELL,Welltower Inc.,112695511680,168.66,0.34%,9277824000
86,CB,Chubb Limited,110865721750,280.95,1.26%,57213000000
87,MO,"Altria Group, Inc.",111259114700,66.52,0.43%,23594000000
88,LMT,Lockheed Martin Corporation,108297409550,471.41,1.63%,71844000000
89,NKE,"NIKE, Inc.",109661348684,74.25,,46309000000
90,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",109516858416,19.05,0.85%,38488636616
91,PLD,"Prologis, Inc.",102996431740,114.19,2.89%,8560569000
92,SMFG,"Sumitomo Mitsui Financial Group, Inc.",64913293320,16.79,-0.30%,25721131949
93,RIO,Rio Tinto Group,100830165026,62.43,0.53%,53658000000
94,ENB,Enbridge Inc.,106420278600,48.79,0.41%,47063503650
95,BN,Brookfield Corporation,104375338466,68.99,2.89%,76076000000
96,SO,The Southern Company,100720578000,91.78,0.24%,28363000000
97,ICE,"Intercontinental Exchange, Inc.",98588413290,175.47,1.88%,12554000000
98,MMC,"Marsh & McLennan Companies, Inc.",97720102480,200.90,1.07%,25799000000
99,PH,Parker-Hannifin Corporation,98552051671,778.77,1.76%,19850000000
100,BMY,Bristol-Myers Squibb Company,97212614400,48.16,2.13%,47704000000
101,RCL,Royal Caribbean Cruises Ltd.,92760962000,352.37,3.18%,17183000000
102,CVS,CVS Health Corporation,93818370100,74.68,0.96%,386641000000
103,DUK,Duke Energy Corporation,94364672400,121.59,0.20%,31271000000
104,TT,Trane Technologies plc,93712192250,421.00,0.88%,20750100000
105,HCA,"HCA Healthcare, Inc.",93804684690,400.29,1.50%,72698000000
106,RBLX,Roblox Corporation,92083562978,134.69,1.39%,4023020000
107,MCO,Moody's Corporation,90790752000,514.54,1.67%,7307000000
108,SHW,The Sherwin-Williams Company,89124080850,367.07,2.69%,23079900000
109,AMT,American Tower Corporation,90728313760,194.55,0.41%,10259600000
110,BMO,Bank of Montreal,91204788010,127.21,0.71%,26197080292
111,MCK,McKesson Corporation,90204520640,724.98,2.65%,377595000000
112,BAM,Brookfield Asset Management Ltd.,92100384132,56.80,2.01%,4351000000
113,BP,BP p.l.c.,89604635035,34.57,-0.55%,191975000000
114,WM,"Waste Management, Inc.",87692062700,219.40,0.79%,23950000000
115,GD,General Dynamics Corporation,86898188650,327.82,1.48%,50273000000
116,NEM,Newmont Corporation,86151433500,79.05,0.79%,20584000000
117,DELL,Dell Technologies Inc.,83679806028,126.95,2.01%,101451000000
118,SCCO,Southern Copper Corporation,82251486474,104.79,2.63%,11888200000
119,RACE,Ferrari N.V.,84407147381,480.86,1.53%,8186215294
120,MMM,3M Company,81795989100,157.27,2.41%,24602000000
121,NOC,Northrop Grumman Corporation,83027526210,584.76,0.84%,40501000000
122,RELX,RELX PLC,84418347794,46.07,2.08%,11792500000
123,CI,The Cigna Group,81263560320,305.65,1.06%,262023000000
124,MFG,"Mizuho Financial Group, Inc.",83853009887,6.63,-1.15%,21205405224
125,MSI,"Motorola Solutions, Inc.",80914564680,487.19,1.14%,11094000000
126,GSK,GSK plc,82584804123,41.39,2.20%,43330136986
127,PNC,"The PNC Financial Services Group, Inc.",79745917500,202.66,0.38%,22112000000
128,AON,Aon plc,78136755990,369.78,2.04%,16752000000
129,BNS,The Bank of Nova Scotia,79654975256,64.07,0.30%,26616058394
130,PBR,Petróleo Brasileiro S.A. - Petrobras,82233716417,12.68,-0.67%,91416000000
131,PBR.A,Petróleo Brasileiro S.A. - Petrobras,77122060288,11.66,-0.47%,102409000000
132,NET,"Cloudflare, Inc.",79521999725,227.00,1.81%,1881431000
133,APO,"Apollo Global Management, Inc.",76445689349,137.62,2.98%,25418000000
134,CVNA,Carvana Co.,78575077092,356.10,-2.47%,16274000000
135,ITW,Illinois Tool Works Inc.,76533325000,265.93,1.29%,15790000000
136,ECL,Ecolab Inc.,76320651250,272.70,1.34%,15723900000
137,EMR,Emerson Electric Co.,76868574720,136.79,2.33%,17779000000
138,AJG,Arthur J. Gallagher & Co.,76555911701,299.60,2.19%,12471000000
139,SNOW,Snowflake Inc.,75153820931,226.61,0.34%,4115907000
140,AEM,Agnico Eagle Mines Limited,76767901384,152.76,-0.04%,9663658000
141,USB,U.S. Bancorp,76564548000,49.27,0.14%,25560000000
142,CRH,CRH plc,74840073718,113.68,2.18%,36347000000
143,NU,Nu Holdings Ltd.,74939482788,15.72,1.32%,12848642000
144,BK,The Bank of New York Mellon Corporation,74131407715,105.85,1.78%,19315000000
145,HWM,Howmet Aerospace Inc.,74219527860,184.36,0.30%,7721000000
146,FI,"Fiserv, Inc.",71830379020,135.43,2.49%,21112000000
147,CM,Canadian Imperial Bank of Commerce,74114042985,79.38,0.68%,20564963504
148,AZO,"AutoZone, Inc.",72913879107,4377.77,2.94%,18901372000
149,TDG,TransDigm Group Incorporated,72540868196,1295.97,0.67%,8579000000
150,WMB,"The Williams Companies, Inc.",71756536800,59.11,0.60%,11225000000
151,RSG,"Republic Services, Inc.",71344478160,230.38,0.82%,16366200000
152,ITUB,Itaú Unibanco Holding S.A.,72539455430,7.16,1.63%,21964239482
