symbol,last_price,average_volume,relative_volume,average_true_range,sma_20,sma_50,sma_200
BRK-B,505.83,4229286,1.0,5.10,504.23,503.29,492.42
JNJ,269.12,6284523,1.3,5.51,268.63,262.06,236.17
MRK,148.46,10870559,1.0,4.95,145.91,134.99,118.66
GILD,146.64,5370545,1.1,3.74,145.03,136.98,134.46
STX,904.38,3624813,1.4,48.01,858.51,853.61,596.67
VLO,382.85,2357347,1.2,10.41,350.86,317.48,240.65
FCX,76.62,13935151,1.2,3.31,72.94,66.72,61.12
HOOD,117.34,20781908,1.3,7.62,104.44,102.83,95.11
WMB,75.83,6925582,1.0,2.21,73.60,73.33,70.23
SLB,57.1,11515259,1.2,1.94,55.04,50.99,49.16
HPE,56.03,21385018,1.3,3.07,54.48,50.25,33.43
LITE,978.535,4625659,1.6,63.13,892.14,819.62,688.88
DVN,48.4,10074003,1.1,1.16,47.54,44.94,43.57
ADM,84.5,3547569,1.4,2.94,81.50,81.12,72.24
HPQ,31.17,14965002,1.0,1.47,30.30,27.37,22.91
SWKS,75.38,5513943,1.2,3.01,68.77,65.02,63.95
